Great food, great decor, great service.;food;positive
Great food, great decor, great service.;decor;positive
Great food, great decor, great service.;service;positive
The service is awful.;service;negative
This place is not worth the prices.;prices;negative
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.;roll;negative
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.;menu;negative
The rice was poor quality and was cooked so badly it was hard.;rice;negative
The rice was poor quality and was cooked so badly it was hard.;quality;negative
The rice was poor quality and was cooked so badly it was hard.;cooked;negative
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.;rice;negative
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.;sushi;negative
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.;seasoning;negative
The fish was adequate, but inexpertly sliced.;fish;conflict
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.;Japanese cuisin;negative
Great sushi experience.;sushi;positive
Took my mom for Mother's Day, and the maitre d' was pretty rude.;maitre d';negative
For dinner I had the chicken tikka-masala and some garlic naan.;chicken tikka-masala;neutral
For dinner I had the chicken tikka-masala and some garlic naan.;garlic naan;neutral
For dinner I had the chicken tikka-masala and some garlic naan.;dinner;neutral
Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.;dinner;positive
I started out with a Bombay beer which was big enough for two.;Bombay beer;positive
The service was great as well.;service;positive
Not a large place, but it's cute and cozy.;place;conflict
Their sake martini is wonderful.;sake martini;positive
I've been here 3 times for lunch and it is one of my favorites in the city.;lunch;neutral
The service is outstanding and my crab-cake eggs benedict could not have been better.;service;positive
The service is outstanding and my crab-cake eggs benedict could not have been better.;crab-cake eggs benedict;positive
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;toast;negative
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;mayonnaise;negative
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;bacon;negative
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;cheese;neutral
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;ingredients;negative
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;plate;neutral
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;omelet;neutral
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.;check;neutral
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.;table;neutral
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.;glass of water;neutral
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.;table;neutral
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.;wait;negative
I recommend this place to everyone who asks me where to go for a good meal.;meal;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;food;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;atmosphere;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;service;positive
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.;french indian fusion;positive
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.;dishes;positive
Pair you food with the excellent beers on tap or their well priced wine list.;food;neutral
